"data","m","pblh.m.","ustar.m.s.","VelocVento","DirVento","Insolacao","Irradiacao","Precipitacao","PressaoMED","TempMED","TempMAX","UR","MP10..µg.m3..","O3..µg.m3.","CO..ppm.","MP2.5..µg.m3.","NO2..µg.m3.","SO2..µg.m3.","dias_sem_chuva"
"2006-05-18",5,1207.3,0.1476,5.70833333333333,"NE",9.2,16.2447854601084,0,929.014159550903,16.4166666666667,24.9,76.4166666666667,75.8576313846154,71.4583333333333,3.6171875,NA,82.57971,14.86432784,6
"2006-05-19",5,1502,0.33893,5.29166666666667,"NW",8.7,15.7928837600484,0,925.85445507528,17.9,25.3,67.5833333333333,78.6174812307692,71.5833333333333,3.6977678625,NA,84.9420283333333,15.3027668,7
"2006-05-20",5,734.46,0.29709,7.79166666666667,"NW",0.2,7.94533767881427,0,923.51261311014,16.4416666666667,20,70.2916666666667,57.7597320769231,44.9583333333333,1.925446425,NA,60.304348,10.03105596,8
"2006-05-21",5,985.94,0.27032,5,"SSE",4.7,10.0619541503235,0,925.462335426836,17.9,22.8,77.9583333333333,33.6346153846154,65.5892856666667,1.14590773375,NA,39.289855,8.34565216,9
"2006-05-22",5,451.74,0.27464,6.375,"S",0.1,5.88673323371615,1.9,928.936100304665,16.1208333333333,18.7,91.625,16.4112126166667,36.8869048333333,0.9425,NA,29.6086956666667,4.754832,0
"2006-05-23",5,728.72,0.30556,5.70833333333333,"SSE",0,3.47133976981451,5.1,931.915048762426,14.3208333333333,15.2,95.2916666666667,22.0833334166667,34.9999998166667,1.2390625,NA,35.304348,7.26413044,0
"2006-05-24",5,572.93,0.3173,7.125,"ESE",0,3.98037364989575,0.4,932.662228583885,13.7708333333333,15.3,91.7083333333333,31.4847825833333,31.0714286666667,1.26919642875,NA,40.2753623333333,11.06695646,0
"2006-05-25",5,607.85,0.22205,5.95833333333333,"E",2.2,7.55382879960789,0,930.719440971299,14.7958333333333,17.7,86.2916666666667,47.7093685384615,25.8095238333333,1.55022321375,NA,63.1014493333333,11.94037274,1
"2006-05-26",5,856.15,0.063764,2.75,"ESE",5.6,12.0708158978889,0,928.944385974889,16.0333333333333,22.8,84.1666666666667,66.049331,58.3035714285714,2.6113839375,NA,76.7391303333333,10.64565218,2
"2006-05-27",5,944.98,0.29994,5.54166666666667,"WNW",7.5,14.5415041196602,0,927.66343627481,18,25.4,78.6666666666667,72.421582,78.3818027142857,4.471428575,NA,79.897826,8.74943072,3
"2006-05-28",5,752.86,0.26397,5,"W",9.5,15.8439694226052,0,927.895315248692,18.6333333333333,26.4,73.1666666666667,52.378205,69.125,2.9024553625,NA,52.8985506666667,9.53007246,4
"2006-05-29",5,726.3,0.15485,3.91666666666667,"SE",7.1,13.5781267476543,0,928.824727901,18.3958333333333,25.2,81.7916666666667,64.8080675384615,62.5714285714286,1.9890625,NA,69.5652173333333,10.48494726,5
"2006-05-30",5,1108,0.23133,4.5,"SSE",7.3,12.988548066678,0,927.394464023836,18.3916666666667,26.7,77.9583333333333,89.0029007142857,63.6,4.2236607125,NA,98.8840586666667,13.58635694,6
"2006-05-31",5,1629.8,0.44009,6.75,"SSE",8.4,14.5813563482044,0,927.043218608748,19.4916666666667,26.6,71.875,78.4025376428571,67.375,3.06514548888889,NA,71.7,12.678261,7
"2006-06-01",6,828.42,0.21673,4.29166666666667,"SE",2.8,8.83233550293095,0,930.66849404358,16.5666666666667,20.3,81.2083333333333,31.0357142857143,35.311011875,1.09964285555556,NA,37.17391275,12.17391315,8
"2006-06-02",6,714.23,0.2688,7.54166666666667,"SE",6.6,12.46007218754,0,931.985400077591,15.1875,19.5,80.2083333333333,35.0505953571429,36.13616075,1.00972222222222,NA,40.6847825,13.739130375,9
"2006-06-03",6,792.82,0.20875,8.5,"E",5.9,12.3816040731912,0,930.844955805729,15.8541666666667,21.2,79.8333333333333,41.8660713571429,44.5625,1.45,NA,45.70652175,12.9021738,10
"2006-06-04",6,909.49,0.24532,6.375,"NNW",7.9,14.2629230815031,0,928.121414928439,16.9666666666667,24.6,75.4583333333333,60.1976872857143,69.022321375,3.009375,NA,69.28260875,16.08695625,11
